"Session id",Start,End,"Charging time (h:m:s)","Energy (kWh)"
01HT8JNKYH1V5WNZ2CBY8Y0CNE,"2024-03-30 22:01:25","2024-03-31 12:29:07",00:18:21,"2,18"
01HT8BH7Z8M927NGKEADW5F69F,"2024-03-30 19:56:42","2024-03-30 22:00:23",02:03:36,"14,79"
01HT8B34GSR1C5D4KRW84FZB9W,"2024-03-30 19:49:00","2024-03-30 19:56:40",00:07:37,"0,89"
01HT8AWV66D9P06V3RJ5M604AY,"2024-03-30 19:45:33","2024-03-30 19:48:58",00:03:22,"0,39"
01HT88WBMT5ZEMVQWP2ZMW5K52,"2024-03-30 19:10:20","2024-03-30 19:45:32",00:35:08,"4,16"
01HT88AKTVKPPYXYC9S0D08R62,"2024-03-30 19:00:39","2024-03-30 19:10:19",00:09:32,"1,10"
01HT871Q4JRMZXQ8HVV2M26F6D,"2024-03-30 18:38:19","2024-03-30 18:39:38",00:00:50,"0,09"
01HT2S7FE0ZADZ7SHHF5A53CBC,"2024-03-28 16:00:35","2024-03-28 17:00:35",00:59:49,"6,94"
01HT24P4VX40FE3Y8047P60Z9A,"2024-03-28 10:01:36","2024-03-28 13:00:34",02:58:47,"21,06"
01HSVXG599T5D5K9K5BM25FVAM,"2024-03-26 00:00:33","2024-03-26 08:00:32",02:09:24,"12,27"
01HSTPW5R7TN8G3ZWB2RZ0MYZ7,"2024-03-25 12:45:32","2024-03-25 17:00:31",04:14:44,"30,56"
01HSS2GR1T4TRGCFQC2Y8C29WE,"2024-03-24 21:30:32","2024-03-25 08:00:31",04:06:00,"26,62"
01HSRZ2WST42JKB8K28ZTH0ZM8,"2024-03-24 20:30:32","2024-03-24 21:00:31",00:29:49,"3,44"
01HSQ04K7M0P2V2PEXFZG46NV9,"2024-03-24 02:10:28","2024-03-24 08:58:42",00:47:48,"2,38"
01HSPG4HDNT68RK925WR2NKKX0,"2024-03-23 21:30:49","2024-03-24 02:08:26",04:37:21,"32,21"
01HSPCPPAN20SSJYHQ0Q1C9H0V,"2024-03-23 20:30:49","2024-03-23 21:00:48",00:29:49,"3,42"
01HSGHJJK9MFCAR0MZN4AFFD3H,"2024-03-21 14:00:31","2024-03-21 14:11:16",00:10:31,"1,19"
01HSG5SD6FE9SEDB7YK4BRKF99,"2024-03-21 10:34:31","2024-03-21 13:00:29",02:25:52,"16,89"
01HSG44P95XRFXM3A71FW3FEQM,"2024-03-21 10:05:44","2024-03-21 10:34:30",00:28:37,"3,28"
01HS71QXD8TYET87TV025DMHD6,"2024-03-17 21:30:38","2024-03-18 09:00:37",10:06:41,"71,80"
01HRZDMPZTKA3WXGMFS247E23Q,"2024-03-14 22:24:41","2024-03-15 09:00:39",03:15:27,"23,24"
01HRZCWXD89TWB3ZF2PV8DES9R,"2024-03-14 22:11:41","2024-03-14 22:16:41",00:04:52,"0,57"
01HRZ9KE3BPPT0Z4XWZF8JDC3B,"2024-03-14 21:14:05","2024-03-14 21:34:19",00:19:46,"2,34"
01HRZARGQMDRMPPDMWN86FYQ8F,"2024-03-14 21:01:11","2024-03-14 21:14:05",00:06:51,"0,81"
01HRS15MYJY9FRM94CBWKV8JTF,"2024-03-12 10:51:18","2024-03-12 15:43:44",00:43:12,"5,11"
01HRS1E4A3297EF0AFN8W2C52P,"2024-03-12 10:44:47","2024-03-12 10:49:55",00:02:38,"0,30"
01HRQMNW1H9WFMQRXP7CS3GANS,"2024-03-11 21:53:44","2024-03-12 09:19:21",04:35:42,"31,14"
01HRQHGY7E1RNNHF2KG8YNKDCY,"2024-03-11 20:37:06","2024-03-11 20:53:38",00:09:56,"1,11"
01HRQGJ4Q5YX8EGFGP8RATRMDN,"2024-03-11 20:33:07","2024-03-11 20:37:06",00:02:40,"0,30"
01HRQG3EQ853YXPJKFYNKECVE8,"2024-03-11 20:08:27","2024-03-11 20:32:00",00:13:40,"1,61"
01HRQEMVA3C5J7CK3HFKT56DK6,"2024-03-11 20:02:27","2024-03-11 20:06:48",00:02:58,"0,30"
01HRQE0CSGY2QA0BYSD0EGD3A5,"2024-03-11 19:57:08","2024-03-11 19:57:57",00:00:16,"0,01"
01HRQE1YN49VNVKYP04BRMS9Y1,"2024-03-11 19:49:09","2024-03-11 19:57:08",00:02:43,"0,30"
01HRQCXKTWN5PNVMD1GPS6BBAQ,"2024-03-11 19:38:09","2024-03-11 19:45:30",00:07:12,"0,80"
01HRQ96FZWVXBZMQM3VHG33SPD,"2024-03-11 18:22:48","2024-03-11 18:26:47",00:01:48,"0,20"
01HRQ6P5XK8SVH76CVRFZ561D7,"2024-03-11 17:49:14","2024-03-11 18:18:00",00:24:21,"2,88"
01HQRKN8500C7Z18YPSEAZXX3Z,"2024-02-28 20:39:27","2024-02-29 09:21:59",10:10:50,"72,03"
01HQ477AA6SXSQ1N3FM82JT33B,"2024-02-20 22:37:19","2024-02-21 08:03:21",09:06:36,"66,12"
01HPJ6JJ2FHB8JK0VX38FJVR1W,"2024-02-13 22:39:39","2024-02-14 11:45:32",10:24:13,"73,19"
01HPBQTDEZ0GZNKTBCMJVNY1P9,"2024-02-11 10:26:21","2024-02-11 13:04:28",02:37:01,"18,92"
01HNX07ERPPP51BZ61FNVX5PYH,"2024-02-05 17:04:41","2024-02-06 09:22:39",10:18:42,"73,25"
01HN8NV8NF3E4ZFG45G4GQXFQC,"2024-01-28 19:38:27","2024-01-29 09:20:37",07:47:39,"54,76"
01HMVX8E53BHMST1XSWXEBSX14,"2024-01-23 20:37:51","2024-01-24 07:51:17",08:59:24,"62,59"
01HMCJSV68839EX7T7F3F7V4RF,"2024-01-17 21:46:31","2024-01-18 09:20:28",10:19:57,"72,14"
01HM4A75VMM1G8GQYSKXRJGE9M,"2024-01-14 16:42:35","2024-01-15 09:21:30",08:18:37,"56,85"
01HKTH195A0R08HG4FXA1JWAJB,"2024-01-10 21:29:17","2024-01-11 09:27:52",10:15:59,"72,90"
01HK8MPFSD84VAPP7PFXXQWR9A,"2024-01-03 22:46:58","2024-01-04 08:10:34",08:59:08,"64,34"
01HK0HKCT7JB42WRBG6RZE0BPC,"2023-12-31 19:18:56","2024-01-02 10:40:06",10:32:01,"73,15"
01HJZFYHA108R84C0KJ459SDMQ,"2023-12-31 09:30:49","2023-12-31 13:45:30",04:10:49,"29,96"
01HJB7QTTSTHFSJ9S6Y6AHK1BX,"2023-12-23 12:42:32","2023-12-23 13:39:22",00:51:41,"6,04"
01HJ6FQZKNANA3QDGMWRTDD7ZH,"2023-12-21 16:26:14","2023-12-22 09:49:58",09:37:58,"67,94"
01HJ5X8D6D8NG96KJRDM2CDZFB,"2023-12-21 11:03:09","2023-12-21 12:59:13",01:53:22,"13,74"
01HHPEV7H4JEQADBTBGNGN268K,"2023-12-15 11:02:41","2023-12-15 20:14:25",09:11:05,"66,31"
01HH5S7HSNBSKXHJAGXVX45X23,"2023-12-08 23:37:05","2023-12-09 08:50:54",09:03:44,"65,42"
01HGNJCZTRDRMV1JBP0638DB5Z,"2023-12-02 16:29:52","2023-12-04 07:55:24",09:58:22,"69,48"
01HG69B2VDP9JTRQBDMA615VEG,"2023-11-26 18:02:56","2023-11-27 09:22:16",09:16:24,"63,83"
01HFJ52G0500Q3PCD8DSHKVSYB,"2023-11-18 22:23:31","2023-11-19 09:53:56",09:58:43,"71,97"
01HF7XARQSRNW4J0ZVEASPBED3,"2023-11-14 22:55:50","2023-11-15 07:57:47",05:57:59,"40,72"
01HF6TK0K9PM0RNQFDCACB3PQJ,"2023-11-14 12:48:40","2023-11-14 16:57:38",04:07:39,"29,86"
01HEXDA52YK79FQ8JP3G4BA535,"2023-11-10 21:03:28","2023-11-11 11:33:08",08:29:43,"60,72"
01HEEAN1TTXG223CAVJF5W3X8X,"2023-11-05 00:28:23","2023-11-05 12:21:28",09:44:32,"69,79"
01HE0NCBWJ7W95Q67RCCFG4B24,"2023-10-30 17:06:31","2023-10-31 09:20:56",08:52:02,"62,32"
01HD7DR60WRD7MCB18XW3ESPXK,"2023-10-20 22:52:08","2023-10-21 10:19:02",00:34:09,"4,11"
01HD528RQ1ANC62ZPJMMF4TGNZ,"2023-10-20 00:53:00","2023-10-20 10:10:06",09:16:00,"66,96"
01HCN8F2KPT0KKWKVSYPAFHSFE,"2023-10-13 21:33:27","2023-10-14 13:51:33",09:43:37,"70,12"
01HCMDSYNM8TB4M89N0DJEK44T,"2023-10-13 13:47:32","2023-10-13 15:32:24",01:44:38,"12,54"
01HC4M38ATFRQFWG4SV3GNB0FK,"2023-10-07 10:29:37","2023-10-07 11:13:03",00:42:57,"5,02"
01HBZE4G4GWSNWVG4P349C2P6G,"2023-10-05 10:09:15","2023-10-05 15:56:29",05:46:55,"41,93"
01HBE9WGTCA6M59K8A6795JYTK,"2023-09-28 18:27:54","2023-09-29 09:21:17",10:32:28,"74,34"
01HB16PEKNB9MBGKAMX6TA9JN2,"2023-09-23 16:22:01","2023-09-23 16:43:45",00:20:38,"2,45"
01HAMF3H5DZV4KH08NSZM2YV9J,"2023-09-18 17:38:51","2023-09-19 09:18:25",09:40:13,"70,28"
01HAH7T4CQ6VKBCY2GT199ZX25,"2023-09-17 11:33:40","2023-09-17 15:15:55",03:33:42,"24,32"
01HA6T1GBQCZ3W8C2HR5PKSMFA,"2023-09-13 10:20:37","2023-09-13 15:47:50",05:26:25,"39,47"
01H9K18FB46RMW6Y2P8HQ4DBJ2,"2023-09-05 18:01:57","2023-09-06 09:14:44",09:35:15,"69,54"
01H96QDPWNV4VR3KNC94TWYD2Q,"2023-08-31 23:19:09","2023-09-01 11:39:04",08:57:55,"64,70"
01H92K3RK94EP8DMGZFDXCACQR,"2023-08-30 08:46:51","2023-08-30 10:53:30",02:01:56,"14,57"
01H9001787FV2M72R9RAJFF5DJ,"2023-08-29 08:34:56","2023-08-29 11:03:35",02:27:51,"17,89"
01H84VG0TX6FF9XNZXFN2WQTP8,"2023-08-18 19:36:09","2023-08-19 09:52:02",09:36:19,"69,62"
01HAMF5GN989HKXYVFJYHQY5XM,"2023-08-05 20:52:06","2023-08-07 04:35:00",01:41:02,"11,90"
01H716JFNBWE0J8WW4THB535JX,"2023-08-04 23:17:04","2023-08-05 13:09:00",06:25:19,"43,92"
01H6CCARGFDNQS05395PXK6Q30,"2023-07-27 21:13:39","2023-07-28 15:16:44",04:13:20,"30,57"
01H5QB3HJVHT3K6HMW8DKB2KZY,"2023-07-19 17:08:11","2023-07-20 09:34:17",10:26:24,"74,25"
01H5B3JX165WCDQ7X1S822MT9P,"2023-07-14 23:05:53","2023-07-15 11:15:34",09:36:26,"66,75"
01H59QV9Q8YWKQ0GAW9V9BZVT4,"2023-07-14 10:21:30","2023-07-14 15:57:22",05:30:40,"40,03"
01H4T8PRQ6B1Y95X9FK6ZMGA7E,"2023-07-08 10:08:17","2023-07-08 12:31:30",02:22:54,"17,10"
01H4GBEXK3N08A0090R7GA3PFW,"2023-07-04 13:44:01","2023-07-04 15:58:11",02:13:48,"16,15"
01H475ZF4BR86SPCRP3969M98K,"2023-07-01 00:15:02","2023-07-01 10:56:43",10:21:10,"80,32"
01HAMF5GECH4T69CK1RH6DR17M,"2023-07-01 00:15:02","2023-07-04 13:37:22",10:20:26,"80,23"
01H468GQ3YVZCDXBQR3Q7D6QXE,"2023-06-30 15:26:18","2023-06-30 15:40:07",00:06:46,"0,81"
01H468GBXGE9RDH5CR1M86F1R3,"2023-06-26 12:08:36","2023-06-26 17:19:47",05:04:09,"38,11"
01H468GBWPMVYS0SZY1R7QDH8C,"2023-06-26 10:21:32","2023-06-26 11:27:21",01:00:05,"7,27"
01H468GBVAMFB2PX4QPQR68JNW,"2023-06-18 22:22:18","2023-06-19 09:26:11",10:39:21,"80,69"
01H468GBTHYT0NPK2SPY9K32CF,"2023-06-15 22:29:57","2023-06-16 09:27:18",09:24:58,"71,57"
01H468GBQAWSZ44SZFYZD74TH3,"2023-06-15 16:34:47","2023-06-15 17:59:59",01:24:28,"10,86"
01H2ZQQ3CSNQSKQDNBZ7C2AAFS,"2023-06-07 21:09:40","2023-06-08 09:24:01",10:07:58,"76,22"
01H2B9P7834WDF8MQ8EWZN4NA5,"2023-06-07 18:05:27","2023-06-07 19:15:28",01:02:42,"7,45"
01H1VVCWAAFAV1SCBPFGBJK21N,"2023-06-01 18:07:05","2023-06-02 10:37:34",06:58:02,"44,89"
01H1V1N815QYRNP4KG7TZ3N6J5,"2023-06-01 10:37:16","2023-06-01 15:53:49",05:11:27,"34,95"
01H1V1PCVZAG4VXKV5FQB15KEY,"2023-05-26 10:11:04","2023-05-26 16:01:26",05:36:18,"37,79"
01H1V1PCSQJXQ5YWN1K27A56G9,"2023-05-26 07:33:26","2023-05-26 09:16:37",01:43:05,"11,32"
01H0X4B8MMMWQW0X3RKYMPN7D0,"2023-05-20 19:47:02","2023-05-21 10:26:36",11:00:57,"71,87"
01H087W6N5J53SYG4NG53VWA83,"2023-05-12 17:04:39","2023-05-13 10:23:20",10:45:44,"72,17"
01H02CAH19FCC6RZD9JE5Q2KDJ,"2023-05-10 10:26:56","2023-05-10 15:49:31",03:47:47,"24,92"
01GZPAM0FKM1584M39E4GR9ZYN,"2023-05-05 18:06:17","2023-05-06 11:30:56",10:21:21,"67,38"
01GZ4ADHWTF335SV2HCN10FEEY,"2023-04-28 18:16:25","2023-04-29 10:03:03",12:09:13,"81,72"
01GYFQBE3S5AFCNY7QX4Y3MPQJ,"2023-04-20 18:18:25","2023-04-21 09:30:01",11:49:13,"77,58"
01GXRW3XKG4GXR7ZS3XN950B79,"2023-04-11 21:19:09","2023-04-12 10:03:00",11:22:39,"76,33"
01GXENY1X73PDBKRQRB74RQ7FX,"2023-04-07 22:18:41","2023-04-08 07:56:37",09:13:57,"61,84"
